Thu May 15 19:52:35 2025    /Users/nicole.r.frank/Breast-Cancer-Classification---SE489/reports/profiling/dataset.prof

         497747 function calls (485104 primitive calls) in 0.507 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       92    0.001    0.000    1.165    0.013 __init__.py:1(<module>)
    732/1    0.005    0.000    0.507    0.507 {built-in method builtins.exec}
        1    0.000    0.000    0.507    0.507 dataset.py:1(<module>)
    799/8    0.002    0.000    0.494    0.062 <frozen importlib._bootstrap>:1165(_find_and_load)
    799/8    0.002    0.000    0.494    0.062 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
    766/8    0.001    0.000    0.493    0.062 <frozen importlib._bootstrap>:666(_load_unlocked)
    674/8    0.001    0.000    0.493    0.062 <frozen importlib._bootstrap_external>:934(exec_module)
  1801/16    0.000    0.000    0.491    0.031 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
   477/55    0.000    0.000    0.329    0.006 {built-in method builtins.__import__}
  888/409    0.001    0.000    0.274    0.001 <frozen importlib._bootstrap>:1207(_handle_fromlist)
        8    0.000    0.000    0.234    0.029 api.py:1(<module>)
      674    0.002    0.000    0.161    0.000 <frozen importlib._bootstrap_external>:1007(get_code)
        3    0.000    0.000    0.137    0.046 generic.py:1(<module>)
  766/758    0.001    0.000    0.130    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
       86    0.000    0.000    0.122    0.001 <frozen importlib._bootstrap_external>:1231(create_module)
       86    0.119    0.001    0.122    0.001 {built-in method _imp.create_dynamic}
      674    0.001    0.000    0.112    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
        3    0.000    0.000    0.112    0.037 main.py:1(<module>)
      679    0.095    0.000    0.095    0.000 {method 'read' of '_io.BufferedReader' objects}
        3    0.000    0.000    0.085    0.028 core.py:1(<module>)
        1    0.000    0.000    0.075    0.075 rich_utils.py:1(<module>)
    86/56    0.000    0.000    0.073    0.001 <frozen importlib._bootstrap_external>:1239(exec_module)
