Thu May 15 19:54:47 2025    /Users/nicole.r.frank/Breast-Cancer-Classification---SE489/reports/profiling/run.prof

         1410713 function calls (1379404 primitive calls) in 1.386 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      162    0.002    0.000    4.312    0.027 __init__.py:1(<module>)
   1651/1    0.020    0.000    1.387    1.387 {built-in method builtins.exec}
        1    0.000    0.000    1.387    1.387 run.py:1(<module>)
   1591/7    0.004    0.000    1.334    0.191 <frozen importlib._bootstrap>:1165(_find_and_load)
   1561/7    0.003    0.000    1.334    0.191 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
   1506/7    0.003    0.000    1.333    0.190 <frozen importlib._bootstrap>:666(_load_unlocked)
   1286/7    0.001    0.000    1.333    0.190 <frozen importlib._bootstrap_external>:934(exec_module)
  3639/14    0.001    0.000    1.332    0.095 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
   707/62    0.001    0.000    1.114    0.018 {built-in method builtins.__import__}
2152/1254    0.002    0.000    0.835    0.001 <frozen importlib._bootstrap>:1207(_handle_fromlist)
        1    0.000    0.000    0.829    0.829 train.py:1(<module>)
       10    0.000    0.000    0.679    0.068 base.py:1(<module>)
        1    0.000    0.000    0.619    0.619 _chunking.py:1(<module>)
        1    0.000    0.000    0.618    0.618 _param_validation.py:1(<module>)
1506/1498    0.001    0.000    0.527    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
      211    0.000    0.000    0.509    0.002 <frozen importlib._bootstrap_external>:1231(create_module)
      211    0.506    0.002    0.509    0.002 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.502    0.502 dataset.py:1(<module>)
        2    0.000    0.000    0.500    0.250 _array_api.py:1(<module>)
        1    0.000    0.000    0.452    0.452 validation.py:1(<module>)
        1    0.000    0.000    0.405    0.405 fixes.py:1(<module>)
        1    0.001    0.001    0.330    0.330 _stats_py.py:1(<module>)
     1286    0.004    0.000    0.298    0.000 <frozen importlib._bootstrap_external>:1007(get_code)
        8    0.000    0.000    0.235    0.029 api.py:1(<module>)
     1286    0.002    0.000    0.212    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
     1291    0.179    0.000    0.179    0.000 {method 'read' of '_io.BufferedReader' objects}
  211/163    0.000    0.000    0.170    0.001 <frozen importlib._bootstrap_external>:1239(exec_module)
  211/163    0.040    0.000    0.170    0.001 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.162    0.162 distributions.py:1(<module>)
        3    0.000    0.000    0.137    0.046 generic.py:1(<module>)
        4    0.000    0.000    0.113    0.028 main.py:1(<module>)
        1    0.000    0.000    0.107    0.107 _continuous_distns.py:1(<module>)
        1    0.000    0.000    0.096    0.096 _coordinate_descent.py:1(<module>)
2407/2385    0.017    0.000    0.088    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.085    0.085 _classification_threshold.py:1(<module>)
        3    0.000    0.000    0.085    0.028 core.py:1(<module>)
22143/21419    0.003    0.000    0.083    0.000 {built-in method builtins.hasattr}
        8    0.000    0.000    0.082    0.010 _base.py:1(<module>)
        1    0.000    0.000    0.075    0.075 rich_utils.py:1(<module>)
     1546    0.006    0.000    0.072    0.000 <frozen importlib._bootstrap>:1054(_find_spec)
