Thu May 15 19:49:52 2025    /Users/nicole.r.frank/Breast-Cancer-Classification---SE489/reports/profiling/train.prof

         1350575 function calls (1320336 primitive calls) in 1.430 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      161    0.002    0.000    4.506    0.028 __init__.py:1(<module>)
   1647/1    0.020    0.000    1.431    1.431 {built-in method builtins.exec}
        1    0.000    0.000    1.430    1.430 train.py:1(<module>)
  1587/10    0.004    0.000    1.401    0.140 <frozen importlib._bootstrap>:1165(_find_and_load)
  1557/10    0.003    0.000    1.401    0.140 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
  1502/11    0.003    0.000    1.400    0.127 <frozen importlib._bootstrap>:666(_load_unlocked)
  1282/11    0.001    0.000    1.400    0.127 <frozen importlib._bootstrap_external>:934(exec_module)
  3631/21    0.001    0.000    1.396    0.066 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
   707/63    0.001    0.000    1.164    0.018 {built-in method builtins.__import__}
2011/1113    0.002    0.000    0.863    0.001 <frozen importlib._bootstrap>:1207(_handle_fromlist)
       10    0.000    0.000    0.704    0.070 base.py:1(<module>)
        1    0.000    0.000    0.642    0.642 _chunking.py:1(<module>)
        1    0.000    0.000    0.641    0.641 _param_validation.py:1(<module>)
1502/1494    0.001    0.000    0.539    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
      211    0.000    0.000    0.522    0.002 <frozen importlib._bootstrap_external>:1231(create_module)
      211    0.518    0.002    0.521    0.002 {built-in method _imp.create_dynamic}
        2    0.000    0.000    0.518    0.259 _array_api.py:1(<module>)
        1    0.000    0.000    0.458    0.458 validation.py:1(<module>)
        1    0.000    0.000    0.422    0.422 fixes.py:1(<module>)
        1    0.001    0.001    0.343    0.343 _stats_py.py:1(<module>)
     1282    0.004    0.000    0.330    0.000 <frozen importlib._bootstrap_external>:1007(get_code)
        8    0.000    0.000    0.250    0.031 api.py:1(<module>)
     1282    0.002    0.000    0.230    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
     1287    0.189    0.000    0.189    0.000 {method 'read' of '_io.BufferedReader' objects}
  211/163    0.000    0.000    0.187    0.001 <frozen importlib._bootstrap_external>:1239(exec_module)
  211/163    0.052    0.000    0.186    0.001 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.170    0.170 distributions.py:1(<module>)
        3    0.000    0.000    0.140    0.047 generic.py:1(<module>)
        4    0.000    0.000    0.110    0.028 main.py:1(<module>)
        1    0.000    0.000    0.105    0.105 _continuous_distns.py:1(<module>)
        8    0.000    0.000    0.096    0.012 _base.py:1(<module>)
        1    0.000    0.000    0.095    0.095 _coordinate_descent.py:1(<module>)
19687/18854    0.003    0.000    0.094    0.000 {built-in method builtins.hasattr}
2406/2384    0.017    0.000    0.092    0.000 {built-in method builtins.__build_class__}
       11    0.000    0.000    0.089    0.008 __init__.py:326(__getattr__)
        1    0.000    0.000    0.086    0.086 _classification_threshold.py:1(<module>)
     1282    0.001    0.000    0.082    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
     1542    0.006    0.000    0.082    0.000 <frozen importlib._bootstrap>:1054(_find_spec)
        3    0.000    0.000    0.082    0.027 core.py:1(<module>)
     1282    0.080    0.000    0.080    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.073    0.073 _logger.py:1(<module>)
        1    0.000    0.000    0.072    0.072 frame.py:1(<module>)
        1    0.000    0.000    0.071    0.071 _laplacian.py:1(<module>)
        1    0.000    0.000    0.071    0.071 rich_utils.py:1(<module>)
        1    0.000    0.000    0.070    0.070 _sputils.py:1(<module>)
        3    0.000    0.000    0.070    0.023 _util.py:1(<module>)
     1536    0.001    0.000    0.070    0.000 <frozen importlib._bootstrap_external>:1499(find_spec)
     1536    0.002    0.000    0.069    0.000 <frozen importlib._bootstrap_external>:1467(_get_spec)
        1    0.000    0.000    0.068    0.068 _unsupervised.py:1(<module>)
     1983    0.008    0.000    0.063    0.000 <frozen importlib._bootstrap_external>:1607(find_spec)
        1    0.000    0.000    0.053    0.053 pairwise.py:1(<module>)
     1657    0.001    0.000    0.052    0.000 __init__.py:272(_compile)
      319    0.000    0.000    0.049    0.000 __init__.py:225(compile)
      111    0.001    0.000    0.049    0.000 _distn_infrastructure.py:1846(__init__)
      259    0.001    0.000    0.048    0.000 _compiler.py:740(compile)
        1    0.000    0.000    0.048    0.048 _dispatcher.py:1(<module>)
        1    0.000    0.000    0.042    0.042 iterative.py:1(<module>)
       68    0.000    0.000    0.042    0.001 _docscrape.py:579(__init__)
        1    0.000    0.000    0.038    0.038 _asyncio_loop.py:1(<module>)
      431    0.014    0.000    0.038    0.000 doccer.py:29(docformat)
     1282    0.038    0.000    0.038    0.000 {built-in method io.open_code}
       72    0.000    0.000    0.038    0.001 _docscrape.py:140(__init__)
        1    0.000    0.000    0.038    0.038 markdown.py:1(<module>)
        1    0.000    0.000    0.037    0.037 _linprog.py:1(<module>)
      132    0.001    0.000    0.036    0.000 _distn_infrastructure.py:821(_construct_doc)
        1    0.000    0.000    0.033    0.033 base_events.py:1(<module>)
        1    0.000    0.000    0.032    0.032 _joblib.py:1(<module>)
        2    0.000    0.000    0.032    0.016 config.py:1(<module>)
       54    0.000    0.000    0.031    0.001 _axis_nan_policy.py:425(axis_nan_policy_decorator)
        1    0.000    0.000    0.030    0.030 main.py:319(__call__)
       10    0.000    0.000    0.030    0.003 utils.py:1(<module>)
     1187    0.003    0.000    0.030    0.000 textwrap.py:419(dedent)
        1    0.000    0.000    0.029    0.029 core.py:1159(__call__)
        1    0.000    0.000    0.029    0.029 core.py:668(main)
        1    0.000    0.000    0.029    0.029 core.py:163(_main)
      259    0.000    0.000    0.029    0.000 _parser.py:979(parse)
        2    0.000    0.000    0.029    0.014 __config__.py:1(<module>)
        1    0.000    0.000    0.029    0.029 core.py:1432(invoke)
        1    0.000    0.000    0.029    0.029 core.py:737(invoke)
        1    0.000    0.000    0.029    0.029 main.py:689(wrapper)
        1    0.000    0.000    0.029    0.029 train.py:115(main)
  910/259    0.002    0.000    0.028    0.000 _parser.py:456(_parse_sub)
       72    0.001    0.000    0.028    0.000 _docscrape.py:388(_parse)
 1287/288    0.010    0.000    0.028    0.000 _parser.py:516(_parse)
        1    0.000    0.000    0.028    0.028 f2py2e.py:1(<module>)
        2    0.000    0.000    0.027    0.014 _typing.py:1(<module>)
        2    0.000    0.000    0.027    0.013 indexing.py:1(<module>)
        1    0.000    0.000    0.027    0.027 _distn_infrastructure.py:1(<module>)
       35    0.000    0.000    0.026    0.001 __init__.py:108(import_module)
       35    0.000    0.000    0.026    0.001 <frozen importlib._bootstrap>:1192(_gcd_import)
      149    0.000    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:1658(_fill_cache)
       31    0.000    0.000    0.025    0.001 __init__.py:132(__getattr__)
        2    0.000    0.000    0.025    0.013 array.py:1(<module>)
      155    0.025    0.000    0.025    0.000 {built-in method posix.listdir}
2950/2706    0.001    0.000    0.024    0.000 typing.py:373(inner)
        1    0.000    0.000    0.024    0.024 _pickle.py:1(<module>)
        1    0.000    0.000    0.024    0.024 columns.py:1(<module>)
        2    0.000    0.000    0.023    0.012 console.py:1(<module>)
     1030    0.000    0.000    0.022    0.000 inspect.py:3261(signature)
     1030    0.000    0.000    0.022    0.000 inspect.py:3007(from_callable)
1475/1034    0.003    0.000    0.021    0.000 inspect.py:2435(_signature_from_callable)
        1    0.000    0.000    0.020    0.020 _cloudpickle_wrapper.py:1(<module>)
        1    0.000    0.000    0.020    0.020 _logistic.py:1(<module>)
        1    0.000    0.000    0.020    0.020 crackfortran.py:1(<module>)
        1    0.000    0.000    0.020    0.020 _minimize.py:1(<module>)
2686/2465    0.004    0.000    0.019    0.000 {built-in method __new__ of type object at 0x102b495f8}
      259    0.000    0.000    0.018    0.000 _compiler.py:573(_code)
        1    0.000    0.000    0.018    0.018 _morestats.py:1(<module>)
        1    0.000    0.000    0.018    0.018 _mgc.py:1(<module>)
        1    0.000    0.000    0.018    0.018 _interpolate.py:1(<module>)
     5551    0.001    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        1    0.000    0.000    0.017    0.017 _index_tricks_impl.py:1(<module>)
        3    0.000    0.000    0.017    0.006 _basic.py:1(<module>)
        1    0.000    0.000    0.017    0.017 ssl.py:1(<module>)
        1    0.000    0.000    0.017    0.017 _linprog_ip.py:1(<module>)
